pt1_X,pt1_Y,pt1_Z,,,,,,
-0.010743,0.040852,4.541635,-0.148552,0.798462,4.378936,-0.018445,-0.140810,4.540904
-0.010710,0.028878,4.541387,-0.145289,0.778949,4.379267,-0.017501,-0.146711,4.538700
-0.006382,0.011924,4.540479,-0.142358,0.767128,4.379995,-0.015744,-0.151174,4.536695
-0.005906,-0.004977,4.545007,-0.140305,0.754649,4.378617,-0.012901,-0.166644,4.530798
-0.000269,-0.017979,4.543249,-0.138559,0.754827,4.378869,-0.021242,-0.076080,4.578851
0.003339,-0.030931,4.546580,-0.131281,0.752137,4.384499,-0.019271,-0.086819,4.574153
0.005059,-0.048220,4.538700,-0.127206,0.728276,4.375617,-0.017601,-0.100534,4.569701
0.009227,-0.055257,4.542397,-0.123730,0.695021,4.358387,-0.016237,-0.112338,4.566493
0.010691,-0.070555,4.534348,-0.120382,0.684517,4.358718,-0.015165,-0.125209,4.556826
0.012695,-0.076347,4.538760,-0.114638,0.666245,4.340310,-0.015160,-0.132205,4.550507
0.015191,-0.083628,4.536323,-0.114534,0.684503,4.366255,-0.014549,-0.136671,4.545158
0.017597,-0.091756,4.533415,-0.106641,0.687860,4.376804,-0.013295,-0.138035,4.541556
0.018900,-0.094949,4.527285,-0.105943,0.691012,4.382779,-0.011846,-0.137738,4.538808
0.021927,-0.092660,4.531458,-0.102342,0.691179,4.385426,-0.009755,-0.134632,4.539294
0.021741,-0.091846,4.528930,-0.100594,0.691929,4.387655,-0.005356,-0.124214,4.539584
0.021428,-0.090854,4.523173,-0.097903,0.680663,4.373589,-0.000258,-0.111901,4.537853
0.023508,-0.085872,4.526600,-0.093250,0.685143,4.379411,-0.000648,-0.110721,4.536428
0.022930,-0.083689,4.524093,-0.087339,0.670116,4.359320,-0.001746,-0.113012,4.534961
0.021392,-0.080362,4.524303,-0.079954,0.675106,4.359920,-0.001411,-0.111088,4.534872
0.024299,-0.074788,4.527411,-0.077189,0.676211,4.358276,-0.001094,-0.111059,4.534736
0.025751,-0.067145,4.533291,-0.063229,0.690979,4.372047,-0.002192,-0.112543,4.533956
0.025101,-0.065488,4.526506,-0.059656,0.688375,4.363212,-0.001462,-0.109821,4.535538
0.023579,-0.068135,4.521037,-0.053539,0.693978,4.354669,-0.001506,-0.109469,4.534110
0.023526,-0.067424,4.522098,-0.055403,0.688668,4.340719,-0.001053,-0.107930,4.533821
0.022397,-0.068625,4.522464,-0.059046,0.680926,4.326090,0.000742,-0.100815,4.534103
0.018973,-0.072666,4.515991,-0.060031,0.675617,4.311617,0.005956,-0.091867,4.539465
0.019436,-0.078406,4.508634,-0.056094,0.682223,4.303183,0.006012,-0.091200,4.539898
0.018196,-0.085027,4.497048,-0.052456,0.669411,4.274727,0.006192,-0.091612,4.538944
