pt1_X,pt1_Y,pt1_Z,,,,,,
-1.536481,-0.044387,1.116859,-1.671390,0.610431,0.809559,-1.579126,-0.115786,1.068657
-1.534520,-0.042530,1.120239,-1.674579,0.611517,0.813656,-1.579058,-0.114240,1.072558
-1.539503,-0.041882,1.119563,-1.680914,0.608058,0.813337,-1.582123,-0.117141,1.067283
-1.546010,-0.034206,1.129752,-1.680914,0.608058,0.813337,-1.582053,-0.116804,1.069196
-1.547031,-0.020679,1.141526,-1.689143,0.606076,0.790142,-1.581613,-0.113346,1.076277
-1.551222,-0.024978,1.138849,-1.692779,0.612574,0.786673,-1.581543,-0.110585,1.082171
-1.562027,-0.031551,1.126400,-1.699590,0.612758,0.781896,-1.582125,-0.108416,1.089636
-1.567968,-0.035445,1.117924,-1.702488,0.603571,0.775438,-1.581721,-0.106341,1.093765
-1.572943,-0.040574,1.107726,-1.703609,0.595492,0.770267,-1.581755,-0.102876,1.098776
-1.578434,-0.041364,1.103976,-1.713140,0.583165,0.750689,-1.581754,-0.101664,1.100765
-1.578710,-0.033039,1.112240,-1.718209,0.590115,0.755749,-1.581754,-0.101664,1.100765
-1.584655,-0.036932,1.103763,-1.721798,0.600965,0.767152,-1.583863,-0.098762,1.101158
-1.588696,-0.030313,1.101330,-1.725967,0.601904,0.765832,-1.584002,-0.095806,1.103298
-1.593221,-0.026554,1.105391,-1.729124,0.597352,0.761403,-1.584210,-0.091976,1.105515
-1.597203,-0.028591,1.100293,-1.740622,0.594680,0.754335,-1.587711,-0.094687,1.099149
-1.600730,-0.029452,1.096745,-1.744841,0.597017,0.746800,-1.587711,-0.094687,1.099149
-1.605712,-0.039647,1.088703,-1.751184,0.593566,0.746493,-1.587711,-0.094687,1.099149
-1.605927,-0.032984,1.095321,-1.757389,0.584979,0.740907,-1.587780,-0.093814,1.099225
-1.610237,-0.030815,1.090608,-1.761696,0.591063,0.744877,-1.588658,-0.093455,1.097015
-1.600974,-0.021329,1.106075,-1.772060,0.577756,0.729409,-1.590908,-0.092440,1.091593
-1.601189,-0.018520,1.106340,-1.772072,0.583426,0.737982,-1.592718,-0.091603,1.087277
-1.603262,-0.017044,1.106268,-1.782576,0.575257,0.727797,-1.594163,-0.093459,1.086596
-1.606466,-0.015127,1.103342,-1.792088,0.561569,0.714473,-1.594438,-0.089958,1.086910
-1.606466,-0.015127,1.103342,-1.796128,0.557372,0.707871,-1.591795,-0.091006,1.093576
-1.612526,-0.019539,1.091816,-1.803340,0.541525,0.671471,-1.592677,-0.090658,1.091353
