pt1_X,pt1_Y,pt1_Z,,,,,,
13.036187,0.930152,5.471842,12.899794,1.722626,5.382391,13.125376,0.354215,5.480499
13.036369,0.928769,5.473221,12.902369,1.715387,5.381980,13.125376,0.354215,5.480499
13.040461,0.919193,5.471511,12.903019,1.711451,5.381523,13.125269,0.349887,5.488213
13.041549,0.915900,5.472461,12.902765,1.709178,5.383323,13.126836,0.353571,5.475414
13.042331,0.911984,5.474849,12.906188,1.699012,5.388953,13.129753,0.352300,5.465257
13.043793,0.905387,5.478389,12.907437,1.693959,5.389139,13.126106,0.353892,5.477956
13.044147,0.903988,5.481111,12.910149,1.688980,5.386142,13.123185,0.355192,5.488136
13.044866,0.900707,5.481261,12.912189,1.682641,5.385189,13.122333,0.353666,5.482666
13.045439,0.895392,5.480608,12.913419,1.671968,5.383940,13.119985,0.353250,5.474754
13.046393,0.891143,5.480765,12.913329,1.668857,5.383882,13.116865,0.361187,5.474619
13.046619,0.881342,5.479881,12.916084,1.660276,5.381079,13.112632,0.369848,5.474544
13.047160,0.871684,5.479329,12.919425,1.661823,5.390209,13.093050,0.411564,5.492349
13.046439,0.868988,5.481752,12.922271,1.656358,5.387469,13.108622,0.401402,5.458008
13.045452,0.866828,5.484115,12.927275,1.647049,5.383440,13.103561,0.412136,5.466771
13.042085,0.867368,5.490778,12.927092,1.647006,5.385518,13.098103,0.419627,5.458705
13.040287,0.865468,5.494430,12.927732,1.630109,5.376635,13.094701,0.416941,5.474065
13.039350,0.862469,5.495246,12.926853,1.623094,5.376433,13.091208,0.429998,5.471099
13.038592,0.856837,5.495714,12.922652,1.630425,5.382936,13.077320,0.462746,5.476303
13.035905,0.851428,5.499100,12.921422,1.633514,5.386757,13.059941,0.547061,5.460634
13.035106,0.847665,5.497635,12.918031,1.636567,5.392709,13.050379,0.569030,5.459131
13.034489,0.843088,5.495703,12.913059,1.631649,5.392380,13.043381,0.583231,5.461550
13.032960,0.842783,5.495810,12.910891,1.624625,5.386937,13.034305,0.599823,5.450717
13.032227,0.840511,5.494535,12.909692,1.621749,5.385586,13.027631,0.614860,5.441090
13.031479,0.839252,5.493222,12.906751,1.624125,5.388287,13.013107,0.644079,5.442690
13.030478,0.837518,5.491889,12.906461,1.624772,5.390988,13.010552,0.660895,5.437557
13.026248,0.836959,5.495995,12.904363,1.620777,5.387118,13.007562,0.680091,5.436687
13.025780,0.832067,5.491698,12.907784,1.615843,5.381172,13.005327,0.681162,5.436242
13.023958,0.829241,5.490000,12.910546,1.611127,5.377524,13.000954,0.685554,5.435805
13.021984,0.829126,5.488701,12.907035,1.603429,5.366760,12.990852,0.701578,5.439596
13.020349,0.829761,5.487948,12.906468,1.602188,5.363076,12.988231,0.707751,5.436339
13.017922,0.830311,5.485033,12.904544,1.596263,5.356392,12.985797,0.718078,5.433440
13.016097,0.831038,5.484741,12.899653,1.597810,5.344689,12.960240,0.765215,5.459306
13.013978,0.832535,5.482408,12.900329,1.596068,5.344726,12.961582,0.764990,5.448814
13.011771,0.834959,5.477791,12.900953,1.610355,5.352873,12.950112,0.790274,5.455302
13.011190,0.835393,5.473829,12.899459,1.605849,5.351217,12.954416,0.776863,5.457563
13.010244,0.835632,5.470919,12.898747,1.605116,5.351180,12.949941,0.787728,5.454946
13.008507,0.835480,5.467780,12.898785,1.605667,5.352748,12.944698,0.798807,5.456961
13.006474,0.838450,5.465770,12.897932,1.606401,5.339551,12.936498,0.845449,5.436544
13.004029,0.842111,5.462791,12.897982,1.605072,5.338875,12.924062,0.870095,5.418466
12.998154,0.849739,5.464789,12.897719,1.607870,5.337031,12.918424,0.891635,5.388067
12.996159,0.844637,5.460513,12.895197,1.619465,5.340859,12.910951,0.915353,5.382845
12.994680,0.843857,5.457515,12.894738,1.621443,5.335727,12.900442,0.937412,5.386271
12.991432,0.846929,5.457583,12.892778,1.623150,5.330414,12.892069,0.963056,5.367640
12.988850,0.849263,5.455359,12.891675,1.625449,5.326079,12.883283,1.000924,5.371013
12.986261,0.852964,5.454656,12.890193,1.631475,5.326601,12.875485,1.049072,5.379641
12.983514,0.859022,5.452801,12.889181,1.639185,5.325359,12.868811,1.087653,5.396572
12.980954,0.859869,5.450824,12.886583,1.643269,5.317806,12.855368,1.119129,5.407763
12.977426,0.864424,5.450412,12.883248,1.648479,5.310188,12.842962,1.182761,5.432005
12.971248,0.875291,5.451779,12.877019,1.662997,5.315087,12.835105,1.206079,5.433143
12.968435,0.885429,5.450733,12.871112,1.679360,5.317310,12.826440,1.225525,5.409540
12.965968,0.886913,5.449287,12.868120,1.682490,5.310063,12.810368,1.242786,5.405428
12.963492,0.888309,5.447927,12.864049,1.689034,5.308434,12.800249,1.259581,5.403291
12.956924,0.899101,5.450000,12.861609,1.693302,5.306386,12.830879,1.221427,5.344705
12.953999,0.907056,5.450050,12.859904,1.696460,5.304415,12.810547,1.272814,5.365523
12.949984,0.913830,5.449586,12.857047,1.701621,5.302635,12.789860,1.304120,5.393841
12.945410,0.919405,5.452176,12.855493,1.706907,5.304625,12.770391,1.330675,5.403852
12.943007,0.921456,5.451218,12.850563,1.722901,5.312425,12.765241,1.335721,5.372367
12.939582,0.927628,5.451436,12.846024,1.731521,5.313216,12.767305,1.343022,5.364062
12.936797,0.933725,5.449334,12.843668,1.738785,5.312731,12.768553,1.359746,5.360194
12.934223,0.938399,5.450286,12.837448,1.750866,5.316098,12.743675,1.395988,5.343146
