pt1_X,pt1_Y,pt1_Z,,,,,,
-1.322168,0.081179,2.617302,-1.428604,0.726351,2.340955,-1.291753,-0.204198,2.540298
-1.322843,0.076966,2.615934,-1.427961,0.726042,2.341617,-1.290541,-0.200041,2.545694
-1.321692,0.070737,2.617937,-1.426454,0.725328,2.343492,-1.290292,-0.197934,2.554215
-1.320446,0.062567,2.613312,-1.422846,0.725319,2.346210,-1.290285,-0.197898,2.554408
-1.319797,0.057995,2.611918,-1.420777,0.723907,2.346355,-1.290776,-0.196511,2.555238
-1.320212,0.054681,2.609723,-1.419414,0.718991,2.341474,-1.289593,-0.191708,2.561237
-1.320029,0.052237,2.609598,-1.418936,0.707261,2.330033,-1.288360,-0.187839,2.566521
-1.319572,0.049159,2.608698,-1.418365,0.701454,2.323648,-1.287105,-0.184257,2.571696
-1.319585,0.045400,2.607354,-1.417331,0.692028,2.316392,-1.287092,-0.183790,2.572771
-1.317746,0.044213,2.609272,-1.415241,0.690630,2.317527,-1.287123,-0.182356,2.574752
-1.317543,0.042987,2.608965,-1.414734,0.687628,2.314885,-1.288560,-0.179220,2.575964
-1.316187,0.041763,2.609613,-1.413724,0.677593,2.310390,-1.289872,-0.172757,2.587536
-1.316035,0.039030,2.607674,-1.411800,0.674986,2.309701,-1.291363,-0.169213,2.590629
-1.315543,0.037095,2.607598,-1.410366,0.675402,2.312650,-1.291255,-0.170642,2.590089
-1.315034,0.035890,2.606649,-1.408992,0.671995,2.311224,-1.291319,-0.170179,2.589724
-1.313706,0.032027,2.606142,-1.408643,0.665851,2.307250,-1.292376,-0.166059,2.577239
-1.312698,0.027734,2.609794,-1.407671,0.659220,2.303735,-1.292532,-0.162572,2.580505
-1.312000,0.025621,2.608838,-1.407214,0.650457,2.297211,-1.292532,-0.162572,2.580505
-1.310824,0.024321,2.610446,-1.404739,0.645036,2.295075,-1.292532,-0.162572,2.580505
-1.310599,0.022422,2.609347,-1.404195,0.637083,2.287973,-1.294406,-0.160739,2.580890
-1.309960,0.020148,2.609482,-1.400887,0.639816,2.293698,-1.294265,-0.172909,2.561817
-1.309693,0.017291,2.607481,-1.399733,0.636498,2.291716,-1.294348,-0.187811,2.541307
-1.308982,0.015852,2.608454,-1.397860,0.635198,2.292305,-1.292864,-0.197572,2.526943
-1.308490,0.013526,2.607693,-1.396119,0.627737,2.286605,-1.295410,-0.202329,2.518289
-1.307687,0.010206,2.607055,-1.394025,0.629957,2.289933,-1.295410,-0.202329,2.518289
-1.307266,0.007433,2.606140,-1.391855,0.627430,2.290004,-1.295076,-0.199033,2.522809
-1.305837,-0.001056,2.602226,-1.390974,0.625517,2.288745,-1.295076,-0.199033,2.522809
-1.305352,-0.002640,2.602643,-1.388554,0.619875,2.284415,-1.294096,-0.199434,2.525293
-1.304479,-0.005126,2.602843,-1.385306,0.622396,2.287948,-1.294096,-0.199434,2.525293
-1.303853,-0.007083,2.603280,-1.382609,0.618966,2.285082,-1.288191,-0.192386,2.534379
-1.303912,-0.009679,2.602028,-1.380282,0.604871,2.275299,-1.286960,-0.190524,2.536029
-1.303352,-0.011831,2.603365,-1.379131,0.608361,2.277466,-1.290150,-0.191584,2.529413
-1.302592,-0.014196,2.603629,-1.377991,0.605476,2.275908,-1.288450,-0.200210,2.521232
-1.302609,-0.017144,2.603023,-1.377880,0.601800,2.271433,-1.288606,-0.196713,2.524510
-1.301538,-0.019862,2.608693,-1.376737,0.602431,2.268126,-1.289144,-0.192444,2.529643
-1.301583,-0.022561,2.608003,-1.374800,0.580178,2.238941,-1.288890,-0.190175,2.528819
-1.301068,-0.025564,2.606449,-1.373073,0.586010,2.245141,-1.289204,-0.183189,2.535368
-1.301347,-0.028443,2.605009,-1.371195,0.591394,2.249760,-1.289204,-0.183189,2.535368
-1.300465,-0.033724,2.602373,-1.368971,0.588406,2.250058,-1.289204,-0.183189,2.535368
-1.299936,-0.036660,2.601202,-1.366751,0.582556,2.244878,-1.289204,-0.183189,2.535368
-1.299632,-0.040130,2.598788,-1.365875,0.573662,2.234378,-1.289204,-0.183189,2.535368
-1.299656,-0.043507,2.597304,-1.365528,0.565477,2.226405,-1.288461,-0.181123,2.535781
-1.299317,-0.045145,2.596824,-1.365379,0.561968,2.222987,-1.288473,-0.189824,2.519939
-1.297846,-0.046621,2.597154,-1.364128,0.560076,2.221057,-1.290479,-0.198845,2.506150
-1.297960,-0.048806,2.596719,-1.363879,0.554225,2.215358,-1.290695,-0.199985,2.499954
-1.297115,-0.049892,2.597245,-1.363065,0.547833,2.208191,-1.290851,-0.196486,2.503236
-1.296475,-0.052283,2.596853,-1.360668,0.543045,2.204696,-1.290851,-0.196486,2.503236
-1.296826,-0.055592,2.594644,-1.359586,0.543137,2.202903,-1.291593,-0.198550,2.502826
-1.296328,-0.058277,2.593378,-1.358334,0.541244,2.200972,-1.291437,-0.202049,2.499543
-1.295882,-0.060265,2.592094,-1.355727,0.538176,2.196662,-1.288250,-0.205692,2.509101
-1.295178,-0.061415,2.592475,-1.353439,0.540611,2.195917,-1.284313,-0.207237,2.519102
-1.294481,-0.065090,2.590878,-1.349487,0.540596,2.196942,-1.281887,-0.211970,2.532487
-1.293730,-0.071623,2.586377,-1.345041,0.539220,2.197941,-1.282200,-0.204972,2.539043
-1.293687,-0.073699,2.585234,-1.339816,0.541903,2.202158,-1.282200,-0.204972,2.539043
-1.293995,-0.074724,2.584042,-1.339613,0.537217,2.197593,-1.282200,-0.204972,2.539043
-1.293828,-0.077759,2.582377,-1.338104,0.532530,2.191794,-1.282200,-0.204972,2.539043
-1.293513,-0.079937,2.581185,-1.335566,0.525765,2.183431,-1.282200,-0.204972,2.539043
-1.293132,-0.081261,2.580084,-1.334862,0.523058,2.180750,-1.282200,-0.204972,2.539043
-1.293104,-0.083637,2.577827,-1.333021,0.522150,2.180634,-1.282200,-0.204972,2.539043
-1.293061,-0.084601,2.576922,-1.332095,0.519348,2.178511,-1.282200,-0.204972,2.539043
-1.293225,-0.084609,2.576156,-1.330707,0.515006,2.175291,-1.284662,-0.208697,2.535743
-1.293138,-0.086927,2.573659,-1.329024,0.502365,2.161992,-1.284662,-0.208697,2.535743
-1.293138,-0.086927,2.573659,-1.325897,0.500656,2.158590,-1.285153,-0.208500,2.534499
-1.293332,-0.087636,2.572529,-1.323470,0.503813,2.162143,-1.285153,-0.208500,2.534499
-1.293323,-0.088382,2.571350,-1.322776,0.504112,2.160910,-1.285624,-0.206684,2.528521
-1.293554,-0.088093,2.571317,-1.320425,0.505573,2.164156,-1.285156,-0.217189,2.518677
-1.293992,-0.089344,2.569632,-1.319724,0.497311,2.155278,-1.285364,-0.218308,2.512508
-1.294424,-0.090560,2.568139,-1.318797,0.494548,2.153195,-1.285467,-0.218866,2.509425
-1.294848,-0.092132,2.566153,-1.318338,0.484097,2.143013,-1.285467,-0.218866,2.509425
-1.295245,-0.092805,2.565071,-1.316700,0.473050,2.140327,-1.285467,-0.218866,2.509425
-1.295604,-0.093523,2.563174,-1.314222,0.469562,2.140769,-1.285467,-0.218866,2.509425
-1.295823,-0.092775,2.564211,-1.313671,0.470377,2.141520,-1.285467,-0.218866,2.509425
-1.295724,-0.094634,2.562782,-1.313671,0.470377,2.141520,-1.285467,-0.218866,2.509425
-1.295842,-0.093640,2.563497,-1.312345,0.471911,2.143578,-1.285467,-0.218866,2.509425
-1.296449,-0.093337,2.563790,-1.309675,0.472489,2.142740,-1.285467,-0.218866,2.509425
-1.296561,-0.092307,2.564697,-1.304941,0.481546,2.140770,-1.285364,-0.218308,2.512508
-1.296543,-0.091813,2.565959,-1.304101,0.475689,2.129545,-1.285364,-0.218308,2.512508
-1.297163,-0.091579,2.565868,-1.304367,0.475128,2.122196,-1.285364,-0.218308,2.512508
-1.297849,-0.092060,2.564406,-1.303551,0.478649,2.119944,-1.285052,-0.225318,2.505938
-1.298284,-0.093117,2.562868,-1.303153,0.477797,2.114264,-1.285052,-0.225318,2.505938
-1.298362,-0.092305,2.564049,-1.303425,0.476767,2.110471,-1.285208,-0.221813,2.509223
-1.298321,-0.092487,2.564516,-1.303494,0.473817,2.103323,-1.287672,-0.225543,2.505917
-1.298343,-0.091810,2.565312,-1.302532,0.474700,2.100359,-1.287672,-0.225543,2.505917
-1.298314,-0.092453,2.564708,-1.302404,0.468482,2.091088,-1.287619,-0.220918,2.515373
-1.298139,-0.091846,2.565263,-1.302541,0.465573,2.086529,-1.288691,-0.217590,2.526268
-1.297774,-0.091346,2.565385,-1.302497,0.462355,2.081253,-1.290569,-0.215755,2.526652
-1.297650,-0.089420,2.567340,-1.302534,0.460428,2.076700,-1.293178,-0.207283,2.542457
-1.297706,-0.088526,2.567861,-1.302571,0.458501,2.072148,-1.291602,-0.207315,2.549272
-1.297197,-0.088491,2.568723,-1.302608,0.456575,2.067595,-1.288304,-0.205683,2.558976
-1.297166,-0.087167,2.570505,-1.302851,0.456563,2.066396,-1.280578,-0.196409,2.574021
-1.298521,-0.086484,2.569667,-1.302580,0.457156,2.064675,-1.275670,-0.193673,2.583528
-1.297287,-0.084632,2.572727,-1.302905,0.458436,2.064201,-1.270022,-0.188875,2.593441
-1.297341,-0.084128,2.572563,-1.301845,0.462852,2.065471,-1.269041,-0.189261,2.595934
-1.299780,-0.083875,2.568734,-1.302327,0.461548,2.065310,-1.264087,-0.181911,2.614853
