pt1_X,pt1_Y,pt1_Z,,,,,,
4.789912,0.181235,4.743807,4.849015,0.822648,4.507000,4.736310,-0.026367,4.730119
4.785784,0.170068,4.744955,4.847243,0.797006,4.499863,4.736701,-0.026285,4.730447
4.784822,0.159594,4.748130,4.845200,0.781332,4.506201,4.736539,-0.027129,4.730456
4.783275,0.148359,4.750133,4.846349,0.754863,4.501089,4.736265,-0.028008,4.728895
4.782352,0.125021,4.746220,4.847814,0.742755,4.507503,4.736486,-0.028695,4.727739
4.780881,0.116615,4.746491,4.848926,0.733776,4.519180,4.736814,-0.024708,4.729243
4.778828,0.107628,4.743362,4.853160,0.743311,4.521240,4.737465,-0.022963,4.728678
4.778588,0.081676,4.736405,4.853938,0.740129,4.520194,4.738519,-0.020536,4.730816
4.776892,0.068375,4.738289,4.854717,0.736948,4.519148,4.738604,-0.019760,4.731481
4.776611,0.061817,4.736630,4.855357,0.736579,4.521279,4.738933,-0.019947,4.730432
4.776848,0.055428,4.733203,4.861032,0.722374,4.525624,4.726443,-0.053015,4.709984
4.777430,0.051122,4.729977,4.860936,0.708241,4.520396,4.730037,-0.045745,4.715242
4.778410,0.046511,4.725145,4.859330,0.691309,4.514208,4.735626,-0.035725,4.722998
4.780519,0.041820,4.717289,4.861604,0.687062,4.515342,4.733868,-0.028722,4.726641
4.780500,0.046446,4.716191,4.862599,0.683555,4.512213,4.728755,-0.020560,4.736017
4.779939,0.051992,4.715643,4.869021,0.682551,4.515575,4.718405,-0.019684,4.703973
4.778040,0.060838,4.714716,4.868881,0.685390,4.518774,4.720804,-0.035814,4.650732
4.780627,0.068450,4.713367,4.870315,0.685632,4.518586,4.719019,-0.043694,4.650380
4.779709,0.064831,4.705711,4.872542,0.689959,4.514390,4.717576,-0.042901,4.645560
4.778754,0.061797,4.699738,4.873789,0.701639,4.512099,4.716814,-0.030687,4.646416
4.779882,0.060981,4.697112,4.873789,0.701639,4.512099,4.716609,-0.031205,4.638681
4.781386,0.057846,4.692028,4.882132,0.682972,4.493693,4.718871,-0.039314,4.617568
