pt1_X,pt1_Y,pt1_Z,,,,,,
10.889460,0.457124,6.264749,11.200594,1.165336,6.111849,10.732885,0.179201,6.242269
10.884731,0.463548,6.271263,11.200342,1.154369,6.107325,10.732485,0.179530,6.240198
10.882915,0.461410,6.272273,11.199144,1.140771,6.100712,10.732807,0.179327,6.238830
10.881316,0.457028,6.272022,11.200487,1.126477,6.094285,10.732411,0.178275,6.237231
10.878075,0.451467,6.272003,11.199987,1.126724,6.096295,10.731619,0.176173,6.234034
10.874486,0.444935,6.272980,11.198590,1.124196,6.098810,10.732752,0.179310,6.241579
10.871983,0.445153,6.274702,11.197839,1.124566,6.101824,10.732227,0.176988,6.239762
10.869262,0.447614,6.277685,11.198011,1.123220,6.103390,10.732227,0.176988,6.239762
10.867768,0.443916,6.276477,11.197761,1.123344,6.104395,10.731539,0.178515,6.241782
10.866077,0.440474,6.275694,11.195416,1.127026,6.109305,10.727842,0.175277,6.233478
10.864663,0.435139,6.272569,11.193469,1.124893,6.111235,10.723353,0.186067,6.231127
10.862103,0.424251,6.268424,11.191773,1.122636,6.112161,10.721573,0.190828,6.232620
10.860171,0.423980,6.269807,11.191273,1.122884,6.114171,10.717785,0.196288,6.241833
10.858839,0.421548,6.270209,11.190029,1.124459,6.117455,10.715280,0.198725,6.234394
10.857631,0.419757,6.270706,11.188380,1.116807,6.111227,10.705217,0.201403,6.222420
10.855278,0.419761,6.275795,11.185726,1.114400,6.104297,10.693618,0.220571,6.226636
10.854169,0.418801,6.276165,11.183924,1.112107,6.103226,10.687816,0.222312,6.221206
10.853055,0.416984,6.276567,11.181944,1.105903,6.090834,10.672631,0.222105,6.193951
10.850968,0.409137,6.275368,11.179698,1.104999,6.086867,10.665969,0.238664,6.202553
10.848874,0.398134,6.270119,11.178930,1.106429,6.088075,10.645828,0.243031,6.139660
10.847405,0.394943,6.270196,11.177610,1.104933,6.083173,10.641583,0.257156,6.121882
10.845082,0.393351,6.274783,11.178651,1.104409,6.078978,10.606858,0.320394,6.174859
10.844074,0.390929,6.274988,11.179276,1.104097,6.076462,10.608010,0.318487,6.175249
10.843044,0.388675,6.275630,11.178246,1.096122,6.067702,10.607370,0.317108,6.151648
10.841596,0.384203,6.274273,11.177275,1.093412,6.063275,10.588301,0.342077,6.149514
10.839274,0.375474,6.270620,11.177275,1.093412,6.063275,10.581309,0.356517,6.160144
10.838347,0.372113,6.269969,11.175887,1.090909,6.060524,10.582711,0.346893,6.138834
10.836632,0.368525,6.273213,11.174499,1.088406,6.057773,10.568467,0.376025,6.145825
10.835912,0.365499,6.274388,11.173523,1.089943,6.059823,10.560692,0.376248,6.156800
10.835150,0.362888,6.274915,11.172070,1.086417,6.059212,10.549220,0.387080,6.152428
10.834028,0.358535,6.273856,11.169580,1.079159,6.056315,10.535327,0.388797,6.146502
10.833323,0.355774,6.272208,11.168450,1.075592,6.051597,10.525228,0.402225,6.154831
10.831327,0.347553,6.267790,11.168866,1.075384,6.049918,10.511262,0.416668,6.154554
10.829989,0.344091,6.266666,11.165577,1.070744,6.043656,10.494084,0.422920,6.110198
10.829178,0.341205,6.264816,11.162900,1.059553,6.029398,10.486425,0.424638,6.079478
10.827946,0.339825,6.264128,11.159866,1.053845,6.021160,10.482433,0.435971,6.068806
10.826528,0.338012,6.263262,11.157133,1.047865,6.014513,10.475686,0.440729,6.072501
10.825230,0.337027,6.263393,11.155596,1.050742,6.016945,10.467778,0.448873,6.076120
10.823194,0.336452,6.265344,11.155387,1.050847,6.017787,10.458207,0.453958,6.069580
10.820461,0.336488,6.269671,11.154762,1.051165,6.020313,10.451383,0.458029,6.049052
10.817725,0.334737,6.270341,11.153929,1.051590,6.023683,10.446237,0.454367,6.035496
10.811850,0.332708,6.270574,11.153929,1.051590,6.023683,10.443851,0.459966,6.032147
10.810817,0.331219,6.270025,11.153349,1.052692,6.029763,10.443762,0.462616,6.030419
10.809548,0.329507,6.268950,11.153349,1.052692,6.029763,10.442976,0.465774,6.028717
10.808324,0.329900,6.269260,11.152517,1.048847,6.026630,10.439935,0.458438,6.027205
10.806152,0.331749,6.270228,11.152517,1.048847,6.026630,10.428988,0.459257,6.029335
10.804841,0.332747,6.270201,11.150614,1.046714,6.023121,10.425053,0.458220,6.031517
10.803006,0.333152,6.269900,11.147878,1.040733,6.016476,10.423428,0.452002,6.019203
10.801202,0.333387,6.268893,11.147110,1.042172,6.017692,10.416998,0.448332,5.989506
10.801548,0.335605,6.266767,11.145974,1.038599,6.012966,10.408860,0.463339,5.978255
10.799769,0.339198,6.268517,11.145140,1.034751,6.009829,10.407323,0.479290,5.968296
10.798120,0.340036,6.268394,11.143170,1.027325,6.001961,10.400391,0.473680,5.957486
10.794767,0.342947,6.269593,11.142336,1.023473,5.998821,10.395342,0.492248,5.974580
10.793409,0.338987,6.265982,11.142336,1.023473,5.998821,10.388069,0.498744,5.975024
10.790921,0.333338,6.262878,11.138618,1.019033,5.994230,10.379967,0.508375,5.977028
10.789902,0.332392,6.261562,11.138618,1.019033,5.994230,10.379476,0.507390,5.978697
10.788020,0.334445,6.262378,11.137849,1.020475,5.995448,10.374060,0.510005,5.979197
10.787241,0.335478,6.261855,11.137849,1.020475,5.995448,10.355608,0.497217,5.946853
10.786394,0.335303,6.260786,11.137849,1.020475,5.995448,10.344085,0.492750,5.917047
10.785966,0.334349,6.258955,11.136711,1.016897,5.990716,10.335949,0.501256,5.912597
10.785638,0.334750,6.257427,11.135942,1.018339,5.991935,10.328161,0.518123,5.923755
10.785134,0.335277,6.255954,11.132735,1.013514,5.988088,10.322770,0.528273,5.928534
10.784758,0.336804,6.253445,11.129618,1.002497,5.975473,10.315997,0.535752,5.927311
10.784825,0.337365,6.248735,11.126384,0.987115,5.959597,10.314680,0.537903,5.930548
10.785725,0.341018,6.243641,11.125823,0.988452,5.959972,10.311450,0.532092,5.924113
10.785651,0.341122,6.240005,11.122558,0.978532,5.946012,10.307486,0.522445,5.912329
10.784580,0.341639,6.237507,11.120807,0.977235,5.942764,10.304983,0.523661,5.910139
10.784090,0.340413,6.233563,11.117305,0.990686,5.950247,10.299987,0.518600,5.898226
10.783786,0.340311,6.230129,11.116463,0.998563,5.954529,10.293549,0.511295,5.890705
10.785008,0.339477,6.222858,11.113245,1.005473,5.958109,10.289437,0.519269,5.895515
10.784906,0.337640,6.218856,11.113262,1.005693,5.952377,10.279779,0.531880,5.899813
10.784392,0.339458,6.216890,11.110973,1.010250,5.950315,10.269929,0.539544,5.904614
10.783166,0.338848,6.214737,11.110109,1.011859,5.949094,10.262752,0.554696,5.915811
10.782514,0.340921,6.213248,11.110052,1.018508,5.946422,10.257624,0.552744,5.912590
10.781323,0.342380,6.212686,11.107189,1.024179,5.950470,10.246447,0.528343,5.881900
