GF1>+ - Capture (time interval between rows = 1 msec),,,,,,,,,,,GF1>Kir2.1 - Capture,,,,,,,,,,,,,,,,,,,,,,,,,,,GF1>+ - Escape,,,,,,,,,,,,,,,GF1>Kir2.1 - Escape,,,,,,,,,,,
X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),,X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),,X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),,X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm),X (mm),Z (mm)
22.69030552,-3.669161474,19.94972762,-1.132170102,29.54340907,-1.299143567,26.08818611,-4.890821978,21.57801626,3.424073486,,16.49176,1.582829456,11.40923282,-2.172282527,11.37856551,-5.04806826,11.01702025,1.761606518,4.528982172,-3.60925184,14.06888144,-1.193949971,18.54139191,-1.196708899,15.50813039,-2.632687233,9.324142061,4.412002394,12.082941,0.680069104,9.376066662,2.243710714,10.01079046,2.108542223,4.699256295,-2.974348342,,15.1520798,-4.013216109,19.30979106,0.896736304,37.9703483,-3.073929161,8.607028669,1.216382573,10.74599718,3.340920933,17.12534264,0.337283816,29.20613355,4.141704485,,19.883,-6.995310684,20.42788087,-0.914822416,12.76416948,-1.180678007,19.91924637,-3.732249458,59.59843965,-2.486427941,11.48703172,5.278655571
22.63973969,-3.602774254,19.8773305,-1.096080509,29.39958403,-1.349615542,26.00336814,-4.891867795,21.61417825,3.443613409,,16.45474956,1.590906973,11.33799433,-2.15979643,11.36007127,-4.999280048,10.94914902,1.724830091,4.524978208,-3.570432115,13.96781571,-1.214388831,18.45184241,-1.13696263,15.42074177,-2.616858264,9.270413104,4.362811496,11.97931853,0.71159442,9.338909107,2.214655599,9.988673776,2.126296849,4.661418757,-2.940457771,,15.08704917,-3.975974627,19.18737504,0.902652799,37.87562235,-3.144684336,8.582384983,1.209565277,10.70626013,3.319466056,17.1141957,0.370940146,29.11543381,4.129933482,,19.84986614,-6.962693655,20.34388764,-0.925967448,12.7066426,-1.156692228,19.89259136,-3.742481332,59.49472336,-2.453283335,11.4519801,5.239631952
22.58756105,-3.536370069,19.80140902,-1.059343411,29.2538971,-1.399402716,25.91782471,-4.891313773,21.64887297,3.461690359,,16.4156004,1.600144498,11.26401937,-2.146607079,11.34123409,-4.948818771,10.87969978,1.688057092,4.520499895,-3.531129613,13.86286926,-1.2343825,18.35743612,-1.076644438,15.32952022,-2.600341775,9.213425935,4.311037176,11.86994295,0.743461083,9.301856257,2.186445776,9.965508186,2.145277974,4.622857858,-2.904030549,,15.0195577,-3.937454967,19.05794686,0.90882598,37.7801418,-3.215901972,8.557375012,1.202887811,10.66479268,3.298564783,17.10217403,0.405536805,29.02352053,4.118189223,,19.81586479,-6.929558953,20.25991038,-0.936435419,12.64795066,-1.132531372,19.86534968,-3.751835235,59.38968755,-2.419766058,11.41478742,5.199591098
22.53378803,-3.470060923,19.72194219,-1.021962002,29.10650717,-1.448440627,25.83162788,-4.889153827,21.68198062,3.478271311,,16.37423862,1.610570903,11.1872934,-2.132677283,11.3220469,-4.896717884,10.80867005,1.651335564,4.515526952,-3.49134556,13.75400393,-1.253843083,18.25812565,-1.015805824,15.2344362,-2.583103958,9.153110018,4.25666093,11.75472447,0.775611274,9.264911607,2.159114455,9.941264283,2.165522493,4.583551033,-2.865074326,,14.94958619,-3.897667033,18.92138199,0.915265182,37.68397963,-3.28751657,8.531990206,1.196333812,10.62153716,3.278231497,17.08921674,0.441058192,28.93050134,4.106466403,,19.78101699,-6.89592516,20.17603408,-0.946189474,12.58809555,-1.108223248,19.83748801,-3.760308376,59.28341166,-2.385942533,11.3754149,5.158551468
22.47843861,-3.403957888,19.63891141,-0.983938757,28.95757382,-1.496671434,25.74484837,-4.885384107,21.71338562,3.493333423,,16.33058989,1.622211165,11.10780615,-2.117969222,11.30249979,-4.843015934,10.73605455,1.614712584,4.510039342,-3.451079457,13.64118633,-1.272682881,18.15387158,-0.95449751,15.13546534,-2.565111655,9.089401858,4.199673896,11.63358282,0.807983561,9.22807317,2.13268886,9.915914186,2.187065191,4.543475263,-2.823608468,,14.87711843,-3.856623515,18.77756711,0.92197815,37.58720377,-3.359463549,8.506220129,1.189884314,10.576435,3.258476677,17.07526051,0.477489352,28.83648789,4.094757487,,19.74534497,-6.86181059,20.0923346,-0.95519551,12.52707897,-1.083792608,19.80896986,-3.767904203,59.1759718,-2.351879503,11.33383115,5.116534926
22.42153078,-3.338169733,19.55229773,-0.945276822,28.80725677,-1.54404366,25.65755665,-4.880002253,21.7429752,3.506862882,,16.28457937,1.635085824,11.02555282,-2.102444098,11.28257934,-4.787756478,10.66184596,1.578235099,4.504017475,-3.410329644,13.52438866,-1.290814828,18.0446424,-0.892769219,15.03258712,-2.546333218,9.022251612,4.140082865,11.50644782,0.840512653,9.191333914,2.107190579,9.889431385,2.209938298,4.502607623,-2.779664981,,14.80214165,-3.814340341,18.62639975,0.928970273,37.4898769,-3.431679131,8.480052671,1.183518,10.52942842,3.239308346,17.06023961,0.514816202,28.74159618,4.083053512,,19.7088706,-6.827233907,20.00887759,-0.963422697,12.46490279,-1.059261181,19.77975583,-3.774632275,59.0674406,-2.317643327,11.2900123,5.073566684
22.36308311,-3.272801333,19.46208112,-0.905979772,28.65571452,-1.590512406,25.5698237,-4.873007728,21.77063753,3.518853264,,16.23613136,1.649210248,10.94053429,-2.086062108,11.26226871,-4.730987683,10.58603534,1.541950475,4.49744234,-3.369093893,13.40358959,-1.308152813,17.93041437,-0.830669771,14.92578416,-2.52673918,8.951628449,4.077914753,11.37326004,0.873129051,9.154682046,2.082635754,9.861790751,2.234171274,4.46092566,-2.733289185,,14.72464693,-3.770837191,18.46778896,0.936244075,37.39205597,-3.504100587,8.453474278,1.177211459,10.48046271,3.220733803,17.04408609,0.55302574,28.64594721,4.07134575,,19.67161463,-6.792214373,19.92571768,-0.970843691,12.40156848,-1.034648091,19.74980378,-3.780508047,58.95788692,-2.2832997,11.24394136,5.029674481
22.30311558,-3.207951813,19.36824132,-0.866050048,28.50310242,-1.636039968,25.48172097,-4.864402365,21.79626069,3.529304171,,16.18516951,1.664594049,10.85275596,-2.068783048,11.24154787,-4.672761547,10.50861239,1.50590655,4.490295609,-3.327369963,13.27877481,-1.324612309,17.81117188,-0.768247085,14.81504234,-2.506302878,8.877523096,4.013218231,11.23397163,0.905759061,9.118101021,2.059035054,9.832968698,2.259790776,4.418408564,-2.684539023,,14.64462945,-3.726137872,18.30165674,0.943798667,37.29379204,-3.576666278,8.426470167,1.170939488,10.42948739,3.202760702,17.02673006,0.592106097,28.54966834,4.059628225,,19.63359624,-6.756771866,19.84289848,-0.977434206,12.33707569,-1.009970386,19.7190691,-3.785552564,58.8473753,-2.248913578,11.19560694,4.984887363
22.24165077,-3.143712746,19.2707585,-0.825487872,28.34957126,-1.680596256,25.39331943,-4.854191145,21.81973245,3.538220448,,16.13161709,1.681240729,10.76222681,-2.050566817,11.2203936,-4.613133054,10.42956548,1.470151417,4.48255973,-3.285156071,13.14993671,-1.340111679,17.68690809,-0.705547765,14.70035116,-2.485001042,8.799949071,3.946064169,11.08854703,0.938325336,9.081569493,2.036393641,9.802943158,2.286820412,4.375038783,-2.63348315,,14.56208869,-3.680270445,18.12793922,0.951629033,37.19513078,-3.649315189,8.399024534,1.164675514,10.37645566,3.185396637,17.00810005,0.632046414,28.45289523,4.047900091,,19.59483213,-6.720926972,19.76045271,-0.983172278,12.27142113,-0.985243035,19.68750515,-3.789792005,58.73596539,-2.214549232,11.14500245,4.939234984
22.17871512,-3.080167291,19.16961355,-0.784291313,28.19526686,-1.724158812,25.30468825,-4.842383056,21.84094027,3.545611791,,16.0753972,1.699147505,10.66895957,-2.031373485,11.19877926,-4.552159669,10.34888193,1.434733281,4.474217974,-3.242451403,13.01707363,-1.354573709,17.55762586,-0.642616647,14.58170452,-2.462814204,8.718943635,3.876546174,10.93696369,0.970747514,9.045061369,2.014711304,9.771693265,2.315280144,4.330802927,-2.580199474,,14.47702835,-3.633267195,17.94658747,0.959725177,37.09611298,-3.721986048,8.371120765,1.15839208,10.32132289,3.168647516,16.98812329,0.672836602,28.3557729,4.036166748,,19.55533595,-6.684701005,19.67840213,-0.988037935,12.20459784,-0.96047898,19.65506358,-3.793257079,58.62371144,-2.18027041,11.09212599,4.892747535
