"GF1>+, Capture","GF1>Kir2.1, Capture","GF1>+, Escape","GF1>Kir2.1, Escape"
0.192824812,0.207347851,0.144849518,0.177748609
0.242615041,0.177795962,0.217966124,0.094044126
0.264821836,0.113231726,0.139783878,0.107357546
0.201434847,0.129804402,0.055675074,0.262820307
0.314986272,0.066879007,0.113084323,0.253271884
,0.230878295,0.170371351,0.142088644
,0.265380149,0.081332463,
,0.202741742,,
,0.123240468,,
,0.227253435,,
,0.073590226,,
,0.061204402,,
,0.114631246,,
