Head Width (mm)
3.1994
2.8572
3.1649
3.1661
3.2425
2.9415
2.9619
2.9619
3.1862
3.0545
3.017
3.035
2.8935
3.0679
3.2927
2.8469
3.0549
2.7872
2.9892
2.7194
2.8938
2.8996
2.6701
2.6069
2.7273
2.8049
3.0179
3.0187
2.8909
2.8565
2.9359
2.6738
2.9673
