<0.167 m/s,,,,,,,,,,,,,,,>0.167 m/s,,,,,,,,,,,
Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),,Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s),Time (ms),Speed (m/s)
-113,0.0554692,-77,0.102818797,-72,0.045916147,-39,0.108525653,-95,0.044340067,-57,0.030465338,-33,0.109261623,,-58,0.079862312,-61,0.144536462,-45,0.186936271,-55,0.20668394,-52,0.159551874,-28,0.21004961
-112,0.05595067,-76,0.104611141,-71,0.046787394,-38,0.109794356,-94,0.045498556,-56,0.031940037,-32,0.107836642,,-57,0.083623903,-60,0.14714336,-44,0.191074246,-54,0.211114794,-51,0.163475959,-27,0.213285315
-111,0.056447475,-75,0.106362387,-70,0.047647422,-37,0.111025455,-93,0.04665061,-55,0.033386861,-31,0.106232417,,-56,0.087471794,-59,0.149687137,-43,0.195084922,-53,0.215435926,-50,0.167275033,-26,0.21623714
-110,0.056962536,-74,0.108069816,-69,0.048496921,-36,0.112216763,-92,0.047793332,-54,0.034805197,-30,0.104443569,,-55,0.091401385,-58,0.152163926,-42,0.198955812,-52,0.219638384,-49,0.17093668,-25,0.21888381
-109,0.057498782,-73,0.109731187,-68,0.049336428,-35,0.113366141,-91,0.04892365,-53,0.03619456,-29,0.102464662,,-54,0.095407347,-57,0.154568463,-41,0.202674233,-51,0.223712632,-48,0.174449542,-24,0.221204224
-108,0.058059052,-72,0.111344893,-67,0.050166395,-34,0.114471421,-90,0.050038552,-52,0.037554006,-28,0.100291062,,-53,0.099483655,-56,0.156894297,-40,0.206227228,-50,0.227648611,-47,0.177803202,-23,0.223178115
-107,0.058645989,-71,0.112909937,-66,0.050987206,-33,0.115530333,-89,0.051135347,-51,0.038881644,-27,0.097919798,,-52,0.103623625,-55,0.159134325,-39,0.209601408,-49,0.231435999,-46,0.180987908,-22,0.224786563
-106,0.059261938,-70,0.114425659,-65,0.05179916,-32,0.116540421,-88,0.052211821,-50,0.040174522,-26,0.09535026,,-51,0.107819955,-54,0.161281384,-38,0.212782813,-48,0.235064636,-45,0.183994268,-21,0.226012272
-105,0.059908904,-69,0.115891272,-64,0.052602413,-31,0.117498915,-87,0.053266235,-49,0.041428996,-25,0.092584696,,-50,0.11206476,-53,0.163328602,-37,0.215756963,-47,0.238524909,-44,0.18681308,-20,0.226839491
-104,0.060588604,-68,0.117305438,-63,0.053396898,-30,0.118402511,-86,0.054297131,-48,0.042641422,-24,0.089628466,,-49,0.116349592,-52,0.165269426,-36,0.218509054,-46,0.241807946,-43,0.189435279,-19,0.227253435
-103,0.061302509,-67,0.118666027,-62,0.054182285,-29,0.119247131,-85,0.055303043,-47,0.043808901,-23,0.0864901,,-48,0.120665389,-51,0.167097409,-35,0.221024192,-45,0.244905653,-42,0.191851867,-18,0.227239477
-102,0.062051807,-66,0.119970084,-61,0.054958031,-28,0.120027806,-84,0.056282229,-46,0.044929725,-22,0.083181282,,-47,0.125002351,-50,0.168805932,-34,0.223287552,-44,0.247810664,-41,0.194053734,-17,0.226782563
-101,0.062837234,-65,0.121213841,-60,0.055723478,-27,0.120738786,-83,0.057232582,-45,0.04600337,-21,0.079716926,,-46,0.129349797,-49,0.170388034,-33,0.225284481,-43,0.250516197,-40,0.19603144,-16,0.22586714
-100,0.063658893,-64,0.122392752,-59,0.056477868,-26,0.121373834,-82,0.058151808,-44,0.047030138,-20,0.076115348,,-45,0.13369607,-48,0.171836432,-32,0.227000544,-42,0.253015842,-39,0.197775107,-15,0.2244776
-99,0.064516208,-63,0.123501629,-58,0.057220246,-25,0.121926539,-81,0.059037837,-43,0.048010762,-19,0.072398328,,-44,0.138028597,-47,0.17314378,-31,0.228421511,-41,0.255303382,-38,0.199274449,-14,0.222599088
-98,0.065408037,-62,0.124534934,-57,0.057949338,-24,0.122390536,-80,0.059889324,-42,0.048946229,-18,0.068590801,,-43,0.142334165,-46,0.174302998,-30,0.229533356,-40,0.25737267,-37,0.200518905,-13,0.220218407
-97,0.066332876,-61,0.125487155,-56,0.058663474,-23,0.122759646,-79,0.060706025,-41,0.049837887,-17,0.064720085,,-42,0.146599386,-45,0.175307444,-29,0.230322315,-39,0.259217568,-36,0.201497901,-12,0.217324747
-96,0.067288984,-60,0.126353121,-55,0.059360593,-22,0.12302797,-78,0.061488916,-40,0.050687698,-16,0.060814759,,-41,0.150811174,-44,0.176150882,-28,0.230774968,-38,0.260831944,-35,0.202201141,-11,0.213910036
-95,0.068274352,-59,0.127128244,-54,0.06003837,-21,0.123189961,-77,0.062240032,-39,0.051498397,-15,0.056903401,,-40,0.154957089,-43,0.176827332,-27,0.230878295,-37,0.262209777,-34,0.202618813,-10,0.209969085
-94,0.069286578,-58,0.12780872,-53,0.060694424,-20,0.123240468,-76,0.06296208,-38,0.052273423,-14,0.053013508,,-39,0.159025505,-42,0.177330918,-26,0.230619769,-36,0.263345384,-33,0.202741742,-9,0.20549991
-93,0.070322836,-57,0.128391683,-52,0.061326522,-19,0.123174773,-75,0.063657966,-37,0.05301659,-13,0.049170871,,-38,0.16300563,-41,0.177655758,-25,0.229987508,-35,0.264233745,-32,0.20256162,-8,0.200504399
-92,0.07138004,-56,0.128875229,-51,0.061932692,-18,0.122988551,-74,0.064330375,-36,0.053731533,-12,0.045399416,,-37,0.166887434,-40,0.177795962,-24,0.228970497,-34,0.264870795,-31,0.20207146,-7,0.1949892
-91,0.072455117,-55,0.129258335,-50,0.062511197,-17,0.122677668,-73,0.064981513,-35,0.054421114,-11,0.041721295,,-36,0.170661531,-39,0.177745757,-23,0.227558859,-33,0.265253563,-30,0.201266156,-6,0.188966629
-90,0.073545214,-54,0.129540728,-49,0.063060443,-16,0.122237852,-72,0.065612942,-34,0.055087041,-10,0.038156894,,-35,0.174319037,-38,0.177499724,-22,0.225744081,-32,0.265380149,-29,0.200142882,-5,0.182455534
-89,0.074647738,-53,0.12972264,-48,0.06357887,-15,0.121664438,-71,0.066225467,-33,0.055729794,-9,0.034724588,,-34,0.177851305,-37,0.17705299,-21,0.223519151,-31,0.265249602,-28,0.198701083,-4,0.175482015
-88,0.075760285,-52,0.129804402,-47,0.064064901,-14,0.120952392,-70,0.066819116,-32,0.056348768,-8,0.031440278,,-33,0.181249442,-36,0.176401286,-20,0.220878569,-30,0.264861736,-27,0.196942038,-3,0.168079891
-87,0.076880596,-51,0.129785965,-46,0.064516975,-13,0.120096597,-69,0.067393301,-31,0.056942508,-7,0.028316848,,-32,0.184503645,-35,0.175540907,-19,0.217818316,-29,0.264216944,-26,0.194868119,-2,0.160290837
-86,0.078006594,-50,0.129666549,-45,0.064933626,-12,0.11909215,-68,0.067947132,-30,0.057508929,-6,0.025363811,,-31,0.187602606,-34,0.174468621,-18,0.214335902,-28,0.263316001,-25,0.192482107,-1,0.152164229
-85,0.079136494,-49,0.129444529,-44,0.06531354,-11,0.11793455,-67,0.068479725,-29,0.058045417,-5,0.02258747,,-30,0.190533257,-33,0.173181575,-17,0.210430554,-27,0.262159868,-24,0.189786799,0,0.143756896
-84,0.08026896,-48,0.129117564,-43,0.06565557,-10,0.11661978,-66,0.0689904,-28,0.058548863,-4,0.019991642,,-29,0.193280966,-32,0.171677345,-16,0.206103534,-26,0.260749533,-23,0.186784967,,
