"GF1>+, Capture","GF1>Kir2.1, Capture","GF1>+, Escape","GF1>Kir2.1, Escape"
52.84360336,73.37321475,70.55926057,79.90526765
64.51489449,58.58778306,82.01015479,80.86847824
87.67149591,70.68815533,63.60178762,66.31247711
81.31260542,64.61003733,77.92032333,73.57057986
61.73635293,76.31363555,68.09412313,86.20154472
,81.09830075,86.51040385,57.31180593
,68.76136668,79.56232016,
,79.61994427,,
,77.4841067,,
,62.15951928,,
,81.62847086,,
,76.07724843,,
,60.91902902,,
