,"GF1>, r/v 10","GF2>, r/v 10","GF1>, r/v 40","GF2>, r/v 40"
+,31.38,24.42,48.02,41.79
Kir2.1;Gal80ts,29.13,,76.13,
Kir2.1,10,15.31,24.82,15.73
