"Capture, GF1>+","Capture, GF1>Kir2.1","Escape, GF1>+","Escape, GF1>Kir2.1"
0.00557347,0.006504945,0.008999485,0.004246081
0.007597708,0.002769362,0.011755662,0.014908947
0.008075164,0.00171897,0.030803807,0.007674374
0.005487158,0.003129984,0.0061044,0.005329939
0.005889132,0.001412848,0.006168799,0.00668348
,0.003069516,0.004666012,0.002465974
,0.003959544,0.027951429,
,0.005157622,,
,0.003892279,,
,0.004250327,,
,0.003500716,,
,0.007176884,,
,0.00277842,,
